time,speed,number_of_reads,region_id,bus_count
2015-01-11T17:10:41,12.95,888,13,57
2015-01-11T23:10:29,20.45,478,13,28
2015-01-11T18:10:40,15.68,882,13,56
2015-01-11T19:31:10,17.73,724,13,49
2015-01-11T06:10:28,21.82,371,13,27
2015-01-11T13:20:58,17.05,876,13,56
2015-01-11T19:10:39,17.73,821,13,56
2015-01-11T05:20:42,20.45,235,13,15
2015-01-11T06:31:02,21.14,399,13,28
2015-01-11T12:40:23,17.73,823,13,54
2015-01-11T08:20:51,21.14,524,13,36
2015-01-11T14:50:40,15.68,913,13,66
2015-01-11T08:31:06,20.45,629,13,41
2015-01-11T17:40:25,15,1029,13,65
2015-01-11T03:40:07,23.86,89,13,6
2015-01-11T20:40:18,19.77,582,13,40
2015-01-11T06:40:13,20.45,393,13,25
2015-01-11T16:31:13,15.68,843,13,52
2015-01-11T20:50:34,19.02,572,13,38
2015-01-11T21:20:51,17.73,546,13,37
2015-01-11T15:31:12,15.68,812,13,59
2015-01-11T17:20:57,13.64,910,13,61
2015-01-11T22:40:20,19.77,472,13,32
2015-01-11T23:31:04,19.09,493,13,26
2015-01-11T15:40:27,15,909,13,55
2015-01-11T11:01:28,17.05,766,13,54
2015-01-11T11:20:58,17.05,886,13,58
2015-01-11T17:01:30,15,983,13,65
2015-01-11T06:01:20,22.5,325,13,19
2015-01-11T09:31:10,19.77,685,13,45
2015-01-11T07:31:02,19.77,498,13,33
2015-01-11T14:10:38,16.36,975,13,67
2015-01-11T02:01:09,24.51,62,13,5
2015-01-11T08:10:36,20.45,614,13,38
2015-01-11T18:50:38,16.36,855,13,57
2015-01-11T19:40:24,18.41,666,13,47
2015-01-11T03:20:41,25.6,170,13,8
2015-01-11T15:20:55,15.68,925,13,59
2015-01-11T10:31:11,17.05,738,13,50
2015-01-11T22:20:50,17.73,497,13,33
2015-01-11T01:40:08,22.23,105,13,7
2015-01-11T08:01:19,19.09,511,13,36
2015-01-11T02:20:38,22.36,83,13,7
2015-01-11T04:20:40,28.57,143,13,9
2015-01-11T07:50:33,19.77,423,13,34
2015-01-11T20:31:09,19.77,635,13,43
2015-01-11T10:50:34,16.36,761,13,53
2015-01-11T00:01:16,21.14,414,13,27
2015-01-11T05:50:28,20.45,290,13,20
2015-01-11T22:10:30,17.73,502,13,35
2015-01-11T02:50:19,26.49,124,13,8
2015-01-11T06:20:45,21.14,282,13,22
2015-01-11T05:40:12,21.82,249,13,20
2015-01-11T02:30:51,0,22,13,7
2015-01-11T01:50:23,24.1,174,13,9
2015-01-11T20:10:35,18.41,662,13,46
2015-01-11T16:10:38,16.02,1011,13,67
2015-01-11T19:01:28,15.68,796,13,53
2015-01-11T13:50:37,16.36,980,13,63
2015-01-11T19:50:39,18.41,670,13,44
2015-01-11T18:31:14,16.36,943,13,61
2015-01-11T01:20:46,20.8,146,13,12
2015-01-11T12:20:57,16.36,792,13,60
2015-01-11T16:01:28,16.36,981,13,72
2015-01-11T18:01:26,15,907,13,61
2015-01-11T00:50:24,21.82,233,13,15
2015-01-11T23:20:49,19.09,437,13,32
2015-01-11T06:50:29,21.82,368,13,32
2015-01-11T12:50:38,16.36,752,13,50
2015-01-11T16:20:59,15.68,952,13,59
2015-01-11T14:01:28,17.05,871,13,58
2015-01-11T11:40:23,17.05,805,13,58
2015-01-11T13:01:29,17.05,852,13,55
2015-01-11T09:40:21,17.05,648,13,53
2015-01-11T14:31:15,15.95,885,13,62
2015-01-11T04:30:55,26.59,117,13,7
2015-01-11T09:01:23,19.77,587,13,44
2015-01-11T10:01:23,19.77,733,13,47
2015-01-11T22:31:05,18.41,492,13,36
2015-01-11T10:10:39,17.01,728,13,52
2015-01-11T23:01:19,20.45,445,13,31
2015-01-11T23:40:14,20.45,375,13,29
2015-01-11T18:40:25,15.68,933,13,65
2015-01-11T00:40:13,22.5,228,13,18
2015-01-11T05:30:57,22.7,238,13,19
2015-01-11T15:50:39,15.68,988,13,61
2015-01-11T20:01:21,19.09,645,13,47
2015-01-11T11:10:35,17.05,737,13,52
2015-01-11T17:50:40,14.32,874,13,65
2015-01-11T03:50:22,25.23,162,13,9
2015-01-11T17:31:12,13.64,1008,13,64
2015-01-11T23:50:29,18.41,342,13,23
2015-01-11T05:10:24,23.18,191,13,14
2015-01-11T15:01:32,15.68,878,13,57
2015-01-11T21:10:35,18.41,509,13,37
2015-01-11T01:10:25,21.14,216,13,16
2015-01-11T04:40:08,25.23,98,13,8
2015-01-11T14:40:24,15.68,920,13,62
2015-01-11T11:50:39,16.36,825,13,55
2015-01-11T12:10:41,17.05,888,13,61
2015-01-11T22:01:20,18.41,510,13,37
2015-01-11T07:40:18,21.82,446,13,30
2015-01-11T21:40:19,17.73,553,13,36
2015-01-11T00:10:27,21.14,356,13,29
2015-01-11T05:01:13,23.86,111,13,10
2015-01-11T07:01:19,20.45,436,13,29
2015-01-11T20:20:52,19.77,589,13,43
2015-01-11T22:50:30,19.77,425,13,29
2015-01-11T02:10:23,22.5,78,13,5
2015-01-11T00:20:46,20.45,310,13,20
2015-01-11T12:01:26,17.05,832,13,62
2015-01-11T18:20:58,15.68,885,13,61
2015-01-11T10:40:24,18.41,746,13,56
2015-01-11T13:40:25,15.68,928,13,60
2015-01-11T21:31:06,17.05,490,13,32
2015-01-11T01:01:14,24.55,262,13,17
2015-01-11T03:30:56,23.18,61,13,6
2015-01-11T09:50:38,18.41,769,13,47
2015-01-11T13:31:08,17.05,803,13,60
2015-01-11T00:31:00,24.41,223,13,20
2015-01-11T21:01:27,18.41,522,13,40
2015-01-11T02:40:04,21.82,45,13,6
2015-01-11T09:20:53,21.14,622,13,44
2015-01-11T03:10:20,22.5,104,13,6
2015-01-11T19:20:54,19.09,728,13,48
2015-01-11T03:01:10,25.91,90,13,8
2015-01-11T13:10:40,16.36,940,13,62
2015-01-11T16:40:25,15,886,13,62
2015-01-11T16:50:40,15,831,13,57
2015-01-11T09:10:33,21.82,553,13,38
2015-01-11T11:31:14,17.05,830,13,57
2015-01-11T04:01:08,21.44,92,13,6
2015-01-11T01:30:54,27.61,126,13,8
2015-01-11T12:31:12,17.05,818,13,54
2015-01-11T15:10:41,15,949,13,64
2015-01-11T14:20:59,15.68,992,13,63
2015-01-11T07:20:47,20.45,469,13,33
2015-01-11T04:50:22,23.86,212,13,14
2015-01-11T07:10:31,19.77,409,13,31
2015-01-11T10:20:54,19.77,681,13,49
2015-01-11T08:40:22,19.77,553,13,40
2015-01-11T04:10:24,22.5,112,13,8
2015-01-11T21:50:35,17.05,493,13,33
2015-01-11T08:50:34,21.14,612,13,43
2015-01-11T23:50:26,18.41,342,13,23
2015-01-11T23:50:26,20.45,375,13,29
2015-01-11T23:50:26,19.09,493,13,26
2015-01-11T23:50:26,19.09,437,13,32
2015-01-11T23:50:26,20.45,478,13,28
2015-01-11T23:50:26,20.45,445,13,31
2015-01-11T23:50:26,19.77,425,13,29
2015-01-11T23:50:26,19.77,472,13,32
2015-01-11T23:50:26,18.41,492,13,36
2015-01-11T23:50:26,17.73,497,13,33
2015-01-11T23:50:26,17.73,502,13,35
2015-01-11T23:50:26,18.41,510,13,37
2015-01-11T23:50:26,17.05,493,13,33
2015-01-11T23:50:26,17.73,553,13,36
2015-01-11T23:50:26,17.05,490,13,32
2015-01-11T23:50:26,17.73,546,13,37
2015-01-11T23:50:26,18.41,509,13,37
2015-01-11T23:50:26,18.41,522,13,40
2015-01-11T23:50:26,19.02,572,13,38
2015-01-11T23:50:26,19.77,582,13,40
2015-01-11T23:50:26,19.77,635,13,43
2015-01-11T23:50:26,19.77,589,13,43
2015-01-11T23:50:26,18.41,662,13,46
2015-01-11T23:50:26,19.09,645,13,47
2015-01-11T23:50:26,18.41,670,13,44
2015-01-11T23:50:26,18.41,666,13,47
2015-01-11T23:50:26,17.73,724,13,49
2015-01-11T23:50:26,19.09,728,13,48
2015-01-11T23:50:26,17.73,821,13,56
2015-01-11T23:50:26,15.68,796,13,53
