time,speed,number_of_reads,region_id,bus_count
2015-01-16T13:10:46,21.27,269,1,23
2015-01-19T20:40:25,20.45,316,1,16
2015-01-07T18:01:50,19.77,592,1,39
2015-01-21T14:01:44,19.09,356,1,28
2015-01-06T20:31:14,19.77,268,1,21
2015-01-19T12:31:17,23.18,402,1,26
2015-01-01T01:10:26,0,64,1,4
2015-01-30T08:31:38,21.82,573,1,37
2015-01-05T06:21:05,22.5,353,1,24
2015-01-20T10:10:49,23.18,446,1,26
2015-01-16T06:31:26,21.14,345,1,27
2015-01-26T16:21:24,18.41,507,1,37
2015-01-01T02:50:20,0,10,1,2
2015-01-27T20:50:39,21.82,286,1,22
2015-01-30T12:01:32,21.82,364,1,24
2015-01-10T14:40:31,19.02,402,1,26
2015-01-30T01:40:15,0,20,1,2
2015-01-06T05:40:25,21.14,215,1,14
2015-01-31T18:20:58,20.45,404,1,27
2015-01-28T11:01:34,22.5,360,1,26
2015-01-08T04:31:00,30,61,1,6
2015-01-28T17:40:46,18.89,524,1,34
2015-01-21T02:50:21,0,29,1,3
2015-01-31T14:31:17,19.77,434,1,30
2015-01-24T08:31:09,23.86,248,1,17
2015-01-28T06:40:36,23.18,388,1,24
2015-01-26T14:40:38,19.77,439,1,29
2015-01-28T20:01:31,23.11,272,1,24
2015-01-19T14:10:52,20.45,471,1,25
2015-01-05T20:01:29,20.32,313,1,25
2015-01-24T07:10:33,25.23,259,1,16
2015-01-12T18:31:31,19.77,632,1,34
2015-01-18T16:40:26,21.14,357,1,24
2015-01-13T23:50:27,28.06,98,1,5
2015-01-03T19:50:38,22.5,329,1,26
2015-01-27T11:50:45,21.82,353,1,28
2015-01-07T17:31:33,19.09,554,1,33
2015-01-15T13:31:19,20.59,359,1,24
2015-01-07T03:10:18,0,21,1,1
2015-01-06T00:31:02,20.28,86,1,7
2015-01-13T03:30:54,0,12,1,1
2015-01-01T19:20:57,23.86,226,1,19
2015-01-20T17:01:57,19.09,520,1,37
2015-01-29T20:50:36,21.82,299,1,18
2015-01-18T10:50:39,20.45,267,1,18
2015-01-01T09:40:19,23.93,220,1,19
2015-01-11T12:10:41,23.52,326,1,18
2015-01-16T20:01:34,22.5,368,1,22
2015-01-30T12:31:18,20.45,354,1,26
2015-01-09T06:40:39,21.14,393,1,30
2015-01-21T17:31:42,19.77,573,1,39
2015-01-14T17:31:33,17.73,638,1,40
2015-01-04T18:50:39,22.5,306,1,22
2015-01-21T00:50:26,27.27,107,1,6
2015-01-12T05:20:52,22.5,243,1,14
2015-01-06T20:40:23,22.3,304,1,17
2015-01-11T08:10:36,24.55,253,1,11
2015-01-12T17:01:53,18.41,478,1,30
2015-01-12T07:51:03,18.41,541,1,34
2015-01-28T20:10:41,23.66,374,1,24
2015-01-13T23:10:34,22.43,192,1,12
2015-01-27T22:40:19,23.18,199,1,17
2015-01-29T14:50:52,20.45,515,1,33
2015-01-22T00:01:15,21.82,152,1,10
2015-01-12T01:01:14,0,49,1,3
2015-01-25T05:20:44,28.4,48,1,5
2015-01-16T16:10:59,17.73,500,1,31
2015-01-07T15:40:43,21.82,436,1,25
2015-01-19T04:50:31,26.59,147,1,13
2015-01-23T07:31:44,21.14,616,1,40
2015-01-01T04:20:38,0,57,1,4
2015-01-27T03:01:11,0,17,1,1
2015-01-19T04:30:57,27.48,59,1,7
2015-01-10T16:10:45,21.82,422,1,28
2015-01-03T17:01:30,18.41,394,1,27
2015-01-31T16:50:45,19.43,336,1,22
2015-01-01T02:20:40,0,25,1,3
2015-01-30T09:11:02,21.82,516,1,32
2015-01-18T03:30:53,0,11,1,1
2015-01-09T12:01:30,21.14,353,1,19
2015-01-24T19:50:41,20.45,335,1,24
2015-01-03T21:10:34,23.86,298,1,21
2015-01-16T05:01:20,27.95,194,1,13
2015-01-09T08:21:25,21.14,528,1,34
2015-01-21T14:10:53,22.5,445,1,27
2015-01-12T11:01:30,19.77,388,1,29
2015-01-25T09:01:20,23.18,217,1,17
2015-01-13T16:40:53,18.41,536,1,36
2015-01-16T15:31:31,19.09,494,1,32
2015-01-14T13:31:19,21.14,423,1,27
2015-01-08T12:10:44,23.18,357,1,23
2015-01-12T04:01:11,0,50,1,4
2015-01-18T01:30:55,27,55,1,5
2015-01-08T08:50:57,21.82,515,1,34
